Date,Time,Temperature (C),Humidity,Wind Speed (km/h),Precipitation (mm)
13-03-2024,00:00,10.8,60,4,0
13-03-2024,01:00,10.4,62,2.2,0
13-03-2024,02:00,10,63,2.2,0
13-03-2024,03:00,9.7,63,4,0
13-03-2024,04:00,9.4,64,4,0
13-03-2024,05:00,9.1,65,5,0
13-03-2024,06:00,8.9,66,5.8,0
13-03-2024,07:00,8.9,69,5.4,0
13-03-2024,08:00,9.4,69,5.4,0
13-03-2024,09:00,10.5,67,5.4,0
13-03-2024,10:00,11.9,62,5.8,0
13-03-2024,11:00,13.4,56,6.8,0
13-03-2024,12:00,15,50,8.6,0
13-03-2024,13:00,16.2,46,10.1,0
13-03-2024,14:00,17.1,43,11.9,0
13-03-2024,15:00,17.7,43,14,0
13-03-2024,16:00,18,44,14.4,0
13-03-2024,17:00,17.8,46,15.8,0
13-03-2024,18:00,17.1,49,15.1,0
13-03-2024,19:00,16.3,55,15.5,0
13-03-2024,20:00,15.6,60,13.7,0
13-03-2024,21:00,14.8,63,12.6,0
13-03-2024,22:00,14.4,66,10.8,0
13-03-2024,23:00,14.2,66,10.4,0
14-03-2024,00:00,13.7,67,9,0
14-03-2024,01:00,13.3,69,7.9,0
14-03-2024,02:00,12.7,73,8.3,0
14-03-2024,03:00,12.3,75,8.3,0
14-03-2024,04:00,11.9,76,8.3,0
14-03-2024,05:00,11.6,76,7.9,0
14-03-2024,06:00,11.3,76,7.6,0
14-03-2024,07:00,11.2,76,6.8,0
14-03-2024,08:00,11.9,74,5.8,0
14-03-2024,09:00,12.7,67,4.7,0
14-03-2024,10:00,13.9,62,5.4,0
14-03-2024,11:00,15.4,56,5.8,0
14-03-2024,12:00,16.7,52,7.2,0
14-03-2024,13:00,17.8,49,8.3,0
14-03-2024,14:00,18.6,47,10.4,0
14-03-2024,15:00,18.8,46,12.6,0
14-03-2024,16:00,18.1,49,15.1,0
14-03-2024,17:00,17.3,54,16.6,0
14-03-2024,18:00,16.4,55,13.7,0
14-03-2024,19:00,15.7,57,10.4,0
14-03-2024,20:00,15.5,58,7.9,0
14-03-2024,21:00,15.5,57,10.4,0
14-03-2024,22:00,15.2,58,15.8,0
14-03-2024,23:00,14.9,61,15.8,0
15-03-2024,00:00,14.1,64,11.9,0
15-03-2024,01:00,13.9,64,13.3,0
15-03-2024,02:00,13.7,65,2.5,0
15-03-2024,03:00,13.6,65,9.7,0
15-03-2024,04:00,13.8,65,13,0.02
15-03-2024,05:00,13.8,67,17.3,0.28
15-03-2024,06:00,13.8,73,18,0.62
15-03-2024,07:00,13.9,77,18,1.03
15-03-2024,08:00,14,80,22,1.13
15-03-2024,09:00,14.3,78,16.6,0
15-03-2024,10:00,15.5,76,20.9,0
15-03-2024,11:00,16.7,70,21.2,0
15-03-2024,12:00,18,68,22,0
15-03-2024,13:00,19.3,65,20.5,0
15-03-2024,14:00,19.9,60,23.8,0
15-03-2024,15:00,19.7,62,24.1,0.51
15-03-2024,16:00,19,65,18.7,0.18
15-03-2024,17:00,17.8,70,15.1,0.27
15-03-2024,18:00,16.7,76,15.1,0.13
15-03-2024,19:00,15.7,68,17.6,0.07
15-03-2024,20:00,14.7,64,18,0
15-03-2024,21:00,13.4,64,19.1,0.01
15-03-2024,22:00,12.2,65,20.5,0
15-03-2024,23:00,11.3,66,20.9,0
16-03-2024,00:00,8.8,61,15.5,0
16-03-2024,01:00,8.4,62,13.7,0
16-03-2024,02:00,8.1,62,11.9,0
16-03-2024,03:00,7.9,62,10.8,0
16-03-2024,04:00,7.6,62,8.3,0
16-03-2024,05:00,7.4,62,5.4,0
16-03-2024,06:00,7.2,62,3.2,0
16-03-2024,07:00,7.2,61,4.3,0
16-03-2024,08:00,7.7,58,4.3,0
16-03-2024,09:00,8.5,52,5.4,0
16-03-2024,10:00,9.3,46,7.6,0
16-03-2024,11:00,10.4,42,8.6,0
16-03-2024,12:00,11.3,39,9.4,0
16-03-2024,13:00,12.2,36,10.8,0
16-03-2024,14:00,12.7,35,12.2,0
16-03-2024,15:00,12.5,38,17.3,0
16-03-2024,16:00,12.3,44,19.1,0
16-03-2024,17:00,12,46,17.3,0
16-03-2024,18:00,11.6,52,16.9,0
16-03-2024,19:00,11.5,56,14.8,0
16-03-2024,20:00,11.5,53,9.4,0
16-03-2024,21:00,11.3,51,7.2,0
16-03-2024,22:00,10.9,54,13.3,0
16-03-2024,23:00,10.2,60,19.8,0
17-03-2024,00:00,10.9,52,18,0
17-03-2024,01:00,10.6,53,17.6,0
17-03-2024,02:00,10.5,55,18.4,0
17-03-2024,03:00,10.4,59,17.6,0
17-03-2024,04:00,10.1,62,22.7,0
17-03-2024,05:00,9.9,69,19.4,0
17-03-2024,06:00,9.7,74,17.6,0
17-03-2024,07:00,9.8,77,16.6,0
17-03-2024,08:00,9.7,75,18.4,0
17-03-2024,09:00,10.3,70,15.8,0
17-03-2024,10:00,11.4,56,20.2,0
17-03-2024,11:00,12.7,46,20.9,0
17-03-2024,12:00,13.8,41,23,0
17-03-2024,13:00,14.6,33,28.8,0
17-03-2024,14:00,14.9,28,29.9,0
17-03-2024,15:00,14.9,28,29.2,0
17-03-2024,16:00,14.7,29,27.7,0
17-03-2024,17:00,14.3,30,25.6,0
17-03-2024,18:00,13.6,31,23,0
17-03-2024,19:00,12.8,36,18.7,0
17-03-2024,20:00,12.2,38,15.8,0
17-03-2024,21:00,11.5,40,14.8,0
17-03-2024,22:00,10.9,41,13,0
17-03-2024,23:00,10.2,44,12.6,0
18-03-2024,00:00,9.3,47,11.9,0
18-03-2024,01:00,8,53,14.4,0
18-03-2024,02:00,7.2,63,15.5,0
18-03-2024,03:00,6.7,60,13,0
18-03-2024,04:00,6.3,55,12.6,0
18-03-2024,05:00,5.8,52,14.8,0
18-03-2024,06:00,5.4,51,14.8,0
18-03-2024,07:00,5.2,50,14.8,0
18-03-2024,08:00,5.2,51,17.3,0
18-03-2024,09:00,5.6,47,19.8,0
18-03-2024,10:00,6.3,41,22.3,0
18-03-2024,11:00,7.2,36,23,0
18-03-2024,12:00,7.9,32,21.2,0
18-03-2024,13:00,8.5,32,21.6,0
18-03-2024,14:00,9.1,28,21.6,0
18-03-2024,15:00,9.6,25,22,0
18-03-2024,16:00,9.7,25,23,0
18-03-2024,17:00,9.4,25,24.5,0
18-03-2024,18:00,8.9,30,25.9,0
18-03-2024,19:00,8.2,34,24.1,0
18-03-2024,20:00,7.5,40,22,0
18-03-2024,21:00,6.7,43,20.5,0
18-03-2024,22:00,6,46,20.5,0
18-03-2024,23:00,5.3,50,20.9,0
19-03-2024,00:00,4.7,51,20.5,0
19-03-2024,01:00,4,51,20.5,0
19-03-2024,02:00,3.4,53,20.9,0
19-03-2024,03:00,2.8,58,20.5,0
19-03-2024,04:00,2.3,55,21.2,0
