Date,Time,Temperature (C),Humidity,Wind Speed (km/h),Precipitation (mm)
2024-06-13,00:00,23.6,86,13.7,0.0
2024-06-13,01:00,23.4,87,13.7,0.0
2024-06-13,02:00,23.4,87,13.3,0.0
2024-06-13,03:00,23.4,86,13.3,0.0
2024-06-13,04:00,23.3,86,12.2,0.01
2024-06-13,05:00,23.3,86,13.7,0.02
2024-06-13,06:00,23.3,86,13.7,0.04
2024-06-13,07:00,23.6,83,14.0,0.0
2024-06-13,08:00,24.8,77,14.8,0.0
2024-06-13,09:00,25.6,72,15.5,0.0
2024-06-13,10:00,26.3,69,16.6,0.0
2024-06-13,11:00,27.2,65,16.2,0.0
2024-06-13,12:00,28.1,62,16.2,0.01
2024-06-13,13:00,28.7,60,17.3,0.03
2024-06-13,14:00,28.9,60,19.8,0.16
2024-06-13,15:00,28.5,62,21.6,0.15
2024-06-13,16:00,27.4,67,21.6,0.23
2024-06-13,17:00,26.7,69,20.9,0.01
2024-06-13,18:00,25.7,71,19.4,0.0
2024-06-13,19:00,24.9,75,16.6,0.0
2024-06-13,20:00,24.9,77,16.2,0.0
2024-06-13,21:00,24.5,78,15.8,0.0
2024-06-13,22:00,24.1,80,14.4,0.0
2024-06-13,23:00,23.7,81,13.3,0.0
2024-06-14,00:00,23.6,81,15.5,0.0
2024-06-14,01:00,23.5,82,13.3,0.0
2024-06-14,02:00,23.2,83,12.2,0.0
2024-06-14,03:00,23.1,84,11.9,0.0
2024-06-14,04:00,22.9,85,10.1,0.0
2024-06-14,05:00,22.8,86,10.8,0.0
2024-06-14,06:00,22.9,86,11.5,0.0
2024-06-14,07:00,23.9,80,12.2,0.0
2024-06-14,08:00,25.5,71,14.0,0.0
2024-06-14,09:00,27.0,62,16.6,0.0
2024-06-14,10:00,28.2,56,16.9,0.0
2024-06-14,11:00,29.0,54,17.6,0.0
2024-06-14,12:00,29.4,52,17.6,0.0
2024-06-14,13:00,28.4,57,18.7,0.0
2024-06-14,14:00,28.1,60,18.7,0.01
2024-06-14,15:00,28.5,59,19.1,0.0
2024-06-14,16:00,29.0,56,21.2,0.0
2024-06-14,17:00,28.7,57,22.3,0.0
2024-06-14,18:00,27.5,62,21.6,0.0
2024-06-14,19:00,25.8,69,16.9,0.0
2024-06-14,20:00,25.6,73,14.8,0.0
2024-06-14,21:00,25.2,76,13.0,0.0
2024-06-14,22:00,24.8,78,11.5,0.0
2024-06-14,23:00,24.6,79,10.8,0.0
2024-06-15,00:00,24.2,81,12.2,0.0
2024-06-15,01:00,24.0,82,11.9,0.0
2024-06-15,02:00,23.8,84,11.5,0.0
2024-06-15,03:00,23.6,85,10.4,0.0
2024-06-15,04:00,23.5,86,10.1,0.0
2024-06-15,05:00,23.3,87,9.7,0.0
2024-06-15,06:00,23.3,87,10.4,0.0
2024-06-15,07:00,24.1,81,12.6,0.0
2024-06-15,08:00,25.5,72,14.8,0.0
2024-06-15,09:00,27.2,63,17.6,0.0
2024-06-15,10:00,28.6,57,18.0,0.0
2024-06-15,11:00,29.6,53,18.4,0.0
2024-06-15,12:00,30.5,50,18.7,0.0
2024-06-15,13:00,31.1,48,19.1,0.01
2024-06-15,14:00,31.3,48,20.2,0.02
2024-06-15,15:00,30.6,50,21.6,0.06
2024-06-15,16:00,29.4,54,22.0,0.04
2024-06-15,17:00,28.9,56,20.9,0.0
